Sample in Buffer,Sample in Window,TRIGGER,lane0_byte_data[7:0],lane1_byte_data[7:0]
1082,1082,0,24,c4
1083,1083,0,31,d3
1084,1084,0,34,73
1085,1085,0,c4,44
1086,1086,0,13,24
1087,1087,0,04,34
1088,1088,0,62,04
1089,1089,0,54,74
1090,1090,0,d4,e2
1091,1091,0,e3,63
1092,1092,0,a3,14
1093,1093,0,a0,14
1094,1094,0,64,a4
1095,1095,0,b4,60
1096,1096,0,e3,94
1097,1097,0,e3,34
1098,1098,0,7d,44
1099,1099,0,74,74
1100,1100,0,c4,e1
1101,1101,0,33,73
1102,1102,0,74,44
1103,1103,0,81,e4
1104,1104,0,c4,13
1105,1105,0,64,af
1106,1106,0,a4,84
1107,1107,0,64,b4
1108,1108,0,b4,03
1109,1109,0,84,55
1110,1110,0,c4,95
1111,1111,0,84,44
1112,1112,0,d4,b5
1113,1113,0,3b,04
1114,1114,0,25,25
1115,1115,0,d5,38
1116,1116,0,b4,45
1117,1117,0,94,85
1118,1118,0,72,95
1119,1119,0,65,c5
1120,1120,0,15,89
1121,1121,0,55,a5
1122,1122,0,45,35
1123,1123,0,79,05
1124,1124,0,75,75
1125,1125,0,15,a5
1126,1126,0,05,a5
1127,1127,0,c5,75
1128,1128,0,17,35
1129,1129,0,a5,05
1130,1130,0,05,88
1131,1131,0,15,65
1132,1132,0,d5,15
1133,1133,0,73,05
1134,1134,0,65,f5
1135,1135,0,15,4f
1136,1136,0,55,65
1137,1137,0,e5,15
1138,1138,0,51,15
1139,1139,0,d5,e5
1140,1140,0,04,3c
1141,1141,0,55,e5
1142,1142,0,95,74
1143,1143,0,c4,64
1144,1144,0,c4,f4
1145,1145,0,e4,a0
1146,1146,0,74,a4
1147,1147,0,f4,34
1148,1148,0,d9,64
1149,1149,0,74,b4
1150,1150,0,e4,d4
1151,1151,0,e4,b4
1152,1152,0,03,54
1153,1153,0,a9,e4
1154,1154,0,74,53
1155,1155,0,54,5f
1156,1156,0,04,94
1157,1157,0,04,d4
1158,1158,0,99,c3
1159,1159,0,34,03
1160,1160,0,24,3b
1161,1161,0,f4,64
1162,1162,0,93,c4
1163,1163,0,73,f3
1164,1164,0,f4,03
1165,1165,0,c3,f6
1166,1166,0,23,03
1167,1167,0,c4,34
1168,1168,0,3e,c4
1169,1169,0,44,13
1170,1170,0,04,d0
1171,1171,0,84,c3
1172,1172,0,d3,13
1173,1173,0,03,c4
1174,1174,0,e4,c3
1175,1175,0,e3,10
1176,1176,0,33,34
1177,1177,0,44,14
1178,1178,0,33,a4
1179,1179,0,94,03
1180,1180,0,04,31
1181,1181,0,c4,64
1182,1182,0,53,d4
1183,1183,0,4f,83
1184,1184,0,24,e4
1185,1185,0,e4,5c
1186,1186,0,53,c4
1187,1187,0,44,14
1188,1188,0,bc,44
1189,1189,0,f4,74
1190,1190,0,64,1a
1191,1191,0,d4,15
1192,1192,0,a4,15
1193,1193,0,ea,75
1194,1194,0,04,74
1195,1195,0,a5,6f
1196,1196,0,f4,85
1197,1197,0,f4,65
1198,1198,0,50,b5
1199,1199,0,75,25
1200,1200,0,95,9e
1201,1201,0,c5,15
1202,1202,0,35,76
1203,1203,0,7b,b5
1204,1204,0,f6,15
1205,1205,0,35,4e
1206,1206,0,96,96
1207,1207,0,c6,46
1208,1208,0,ef,06
1209,1209,0,75,56
1210,1210,0,36,68
1211,1211,0,a6,16
1212,1212,0,c6,86
1213,1213,0,9e,86
1214,1214,0,56,16
1215,1215,0,96,dc
1216,1216,0,76,e6
1217,1217,0,06,46
1218,1218,0,3b,c6
1219,1219,0,17,e6
1220,1220,0,c7,0c
1221,1221,0,56,d7
1222,1222,0,76,c6
1223,1223,0,6b,06
1224,1224,0,e6,a7
1225,1225,0,36,85
1226,1226,0,b7,a6
1227,1227,0,46,c6
1228,1228,0,29,66
1229,1229,0,97,26
1230,1230,0,e6,f9
1231,1231,0,c6,66
1232,1232,0,b6,66
1233,1233,0,0b,b6
1234,1234,0,57,56
1235,1235,0,46,bf
1236,1236,0,56,96
1237,1237,0,26,86
1238,1238,0,2b,c6
1239,1239,0,66,95
1240,1240,0,16,6f
1241,1241,0,56,d6
1242,1242,0,e6,16
1243,1243,0,34,46
1244,1244,0,b6,26
1245,1245,0,26,b5
1246,1246,0,16,56
1247,1247,0,36,c6
1248,1248,0,13,95
1249,1249,0,76,25
1250,1250,0,e6,65
1251,1251,0,55,66
1252,1252,0,76,56
1253,1253,0,ea,e6
1254,1254,0,55,b5
1255,1255,0,26,13
1256,1256,0,a6,26
1257,1257,0,75,16
1258,1258,0,ae,f6
1259,1259,0,36,b5
1260,1260,0,36,11
1261,1261,0,c6,d6
1262,1262,0,05,25
1263,1263,0,b8,96
1264,1264,0,f5,95
1265,1265,0,e5,5f
1266,1266,0,15,c6
1267,1267,0,b6,35
1268,1268,0,00,95
1269,1269,0,06,25
1270,1270,0,56,07
1271,1271,0,a5,c6
1272,1272,0,95,b5
1273,1273,0,2a,b5
1274,1274,0,96,e5
1275,1275,0,85,a6
1276,1276,0,c5,b5
1277,1277,0,05,85
1278,1278,0,e3,c5
1279,1279,0,05,b5
1280,1280,0,c6,e8
1281,1281,0,b5,55
1282,1282,0,c5,26
1283,1283,0,42,36
1284,1284,0,86,55
1285,1285,0,36,66
1286,1286,0,e6,76
1287,1287,0,e5,16
1288,1288,0,27,06
1289,1289,0,96,36
1290,1290,0,26,73
1291,1291,0,36,86
1292,1292,0,f6,a6
1293,1293,0,4c,76
1294,1294,0,76,e6
1295,1295,0,f6,dc
1296,1296,0,a6,e6
1297,1297,0,d6,a6
1298,1298,0,70,a6
1299,1299,0,d6,b6
1300,1300,0,86,be
1301,1301,0,36,d6
1302,1302,0,57,e6
1303,1303,0,73,d6
1304,1304,0,16,e6
1305,1305,0,67,6d
1306,1306,0,a6,e7
1307,1307,0,96,b6
1308,1308,0,4f,46
1309,1309,0,37,37
1310,1310,0,77,6f
1311,1311,0,36,f7
1312,1312,0,07,56
1313,1313,0,47,27
1314,1314,0,97,67
1315,1315,0,77,b9
1316,1316,0,77,26
1317,1317,0,77,07
1318,1318,0,40,87
1319,1319,0,87,57
1320,1320,0,57,c5
1321,1321,0,47,37
1322,1322,0,37,27
1323,1323,0,b5,17
1324,1324,0,c7,37
1325,1325,0,57,50
1326,1326,0,67,97
1327,1327,0,87,87
1328,1328,0,5b,06
1329,1329,0,f7,e7
1330,1330,0,06,3f
1331,1331,0,c7,97
1332,1332,0,b6,87
1333,1333,0,f7,47
1334,1334,0,67,a7
1335,1335,0,67,11
1336,1336,0,b7,07
1337,1337,0,96,97
1338,1338,0,e7,b7
1339,1339,0,27,56
1340,1340,0,17,ef
1341,1341,0,27,57
1342,1342,0,87,a7
1343,1343,0,2b,a7
1344,1344,0,97,06
1345,1345,0,f7,18
1346,1346,0,b6,67
1347,1347,0,d7,d7
1348,1348,0,7b,46
1349,1349,0,d7,97
1350,1350,0,16,7f
1351,1351,0,f7,57
1352,1352,0,c6,17
1353,1353,0,f2,77
1354,1354,0,36,87
1355,1355,0,17,7b
1356,1356,0,e7,37
1357,1357,0,26,f7
1358,1358,0,13,d6
1359,1359,0,77,16
1360,1360,0,36,5e
1361,1361,0,57,37
1362,1362,0,e7,97
1363,1363,0,6a,86
1364,1364,0,47,f6
1365,1365,0,e7,5d
1366,1366,0,76,37
1367,1367,0,86,b7
1368,1368,0,31,96
1369,1369,0,77,56
1370,1370,0,17,a3
1371,1371,0,e7,16
1372,1372,0,46,c7
1373,1373,0,04,d7
1374,1374,0,77,e6
1375,1375,0,06,4a
1376,1376,0,a7,87
1377,1377,0,96,c7
1378,1378,0,07,a6
1379,1379,0,57,f6
1380,1380,0,67,d0
1381,1381,0,e6,a6
1382,1382,0,16,c6
1383,1383,0,d7,16
1384,1384,0,36,87
1385,1385,0,27,3a
1386,1386,0,b7,e7
1387,1387,0,36,26
1388,1388,0,3f,37
1389,1389,0,d7,97
1390,1390,0,36,3f
1391,1391,0,77,27
1392,1392,0,36,e7
1393,1393,0,b8,d6
1394,1394,0,e6,b6
1395,1395,0,16,a5
1396,1396,0,c7,d6
1397,1397,0,e6,76
1398,1398,0,2e,e6
1399,1399,0,a7,36
1400,1400,0,76,bb
1401,1401,0,96,06
1402,1402,0,b6,f7
1403,1403,0,b7,a6
1404,1404,0,76,96
1405,1405,0,e6,e7
1406,1406,0,e6,96
1407,1407,0,b6,66
1408,1408,0,c4,d6
1409,1409,0,66,a6
1410,1410,0,86,aa
1411,1411,0,96,b6
1412,1412,0,a6,e6
1413,1413,0,b4,e6
1414,1414,0,16,06
1415,1415,0,a7,b6
1416,1416,0,a6,d6
1417,1417,0,26,96
1418,1418,0,33,b6
1419,1419,0,17,86
1420,1420,0,a7,d3
1421,1421,0,96,96
1422,1422,0,c6,96
1423,1423,0,1d,16
1424,1424,0,07,17
1425,1425,0,87,32
1426,1426,0,76,b7
1427,1427,0,d7,f6
1428,1428,0,88,16
1429,1429,0,27,d7
1430,1430,0,e7,1e
1431,1431,0,56,67
1432,1432,0,77,a7
1433,1433,0,08,e6
1434,1434,0,37,e6
1435,1435,0,b7,0b
1436,1436,0,c7,77
1437,1437,0,06,47
1438,1438,0,13,37
1439,1439,0,57,97
1440,1440,0,a7,13
1441,1441,0,37,67
1442,1442,0,c7,77
1443,1443,0,52,57
1444,1444,0,17,27
1445,1445,0,37,28
1446,1446,0,e7,a7
1447,1447,0,b6,97
1448,1448,0,3a,f7
1449,1449,0,67,47
1450,1450,0,e7,c9
1451,1451,0,17,c7
1452,1452,0,68,57
1453,1453,0,76,87
1454,1454,0,77,47
1455,1455,0,b7,01
1456,1456,0,b7,67
1457,1457,0,f7,f8
1458,1458,0,08,26
1459,1459,0,98,98
1460,1460,0,07,9b
1461,1461,0,38,e7
1462,1462,0,f7,87
1463,1463,0,0f,27
1464,1464,0,c8,98
1465,1465,0,47,83
1466,1466,0,78,e7
1467,1467,0,47,07
1468,1468,0,da,77
1469,1469,0,b7,07
1470,1470,0,f7,e2
1471,1471,0,77,b7
1472,1472,0,17,97
1473,1473,0,43,77
1474,1474,0,e7,88
1475,1475,0,b7,e6
1476,1476,0,97,17
1477,1477,0,37,97
1478,1478,0,28,b7
1479,1479,0,58,b7
1480,1480,0,87,88
1481,1481,0,e7,77
1482,1482,0,26,c7
1483,1483,0,84,d7
1484,1484,0,97,67
1485,1485,0,87,77
1486,1486,0,e7,b7
1487,1487,0,a6,77
1488,1488,0,3a,97
1489,1489,0,c7,e7
1490,1490,0,b7,4b
1491,1491,0,a7,07
1492,1492,0,d7,28
1493,1493,0,30,a7
1494,1494,0,c7,37
1495,1495,0,a7,4c
1496,1496,0,c7,97
1497,1497,0,27,77
1498,1498,0,70,07
1499,1499,0,87,27
1500,1500,0,17,85
1501,1501,0,47,97
1502,1502,0,67,37
1503,1503,0,63,17
1504,1504,0,f7,e7
1505,1505,0,96,4a
1506,1506,0,c7,77
1507,1507,0,c7,a7
1508,1508,0,42,b7
1509,1509,0,57,e6
1510,1510,0,47,3b
1511,1511,0,87,57
1512,1512,0,17,27
1513,1513,0,d9,e7
1514,1514,0,36,16
1515,1515,0,37,7a
1516,1516,0,07,67
1517,1517,0,f7,87
1518,1518,0,4b,87
1519,1519,0,37,66
1520,1520,0,e7,39
1521,1521,0,76,d7
1522,1522,0,37,a6
1523,1523,0,fd,e6
1524,1524,0,46,66
1525,1525,0,f7,1a
1526,1526,0,06,e7
1527,1527,0,57,c6
1528,1528,0,1c,36
1529,1529,0,47,b7
1530,1530,0,07,c4
1531,1531,0,b7,56
1532,1532,0,96,57
1533,1533,0,13,27
1534,1534,0,e7,e7
1535,1535,0,26,7f
1536,1536,0,d7,d7
1537,1537,0,b6,06
1538,1538,0,ed,47
1539,1539,0,f6,d7
1540,1540,0,e6,fd
1541,1541,0,76,06
1542,1542,0,06,07
1543,1543,0,3c,c7
1544,1544,0,f7,16
1545,1545,0,46,36
1546,1546,0,07,c7
1547,1547,0,b7,c6
1548,1548,0,0b,e6
1549,1549,0,57,f6
1550,1550,0,17,02
1551,1551,0,e7,d7
1552,1552,0,c6,e6
1553,1553,0,bf,36
1554,1554,0,46,27
1555,1555,0,77,17
1556,1556,0,07,b7
1557,1557,0,b7,07
1558,1558,0,17,07
1559,1559,0,17,47
1560,1560,0,77,bd
1561,1561,0,17,06
1562,1562,0,57,d7
1563,1563,0,40,b6
1564,1564,0,e7,96
1565,1565,0,a6,5d
1566,1566,0,f6,07
1567,1567,0,a6,c7
1568,1568,0,61,66
1569,1569,0,d6,86
1570,1570,0,e6,f6
1571,1571,0,86,86
1572,1572,0,b6,f6
1573,1573,0,f5,d6
1574,1574,0,76,a6
1575,1575,0,96,01
1576,1576,0,a6,86
1577,1577,0,96,56
1578,1578,0,53,56
1579,1579,0,26,f6
1580,1580,0,c6,38
1581,1581,0,25,86
1582,1582,0,36,f6
1583,1583,0,71,05
1584,1584,0,26,16
1585,1585,0,d6,61
1586,1586,0,b5,26
1587,1587,0,65,a6
1588,1588,0,51,d5
1589,1589,0,c6,c5
1590,1590,0,05,15
1591,1591,0,d6,16
1592,1592,0,c5,86
1593,1593,0,12,a6
1594,1594,0,16,55
1595,1595,0,b6,f7
1596,1596,0,55,e5
1597,1597,0,e6,55
1598,1598,0,33,45
1599,1599,0,f6,16
1600,1600,0,f5,29
1601,1601,0,15,c6
1602,1602,0,e6,35
1603,1603,0,e6,16
1604,1604,0,f5,66
1605,1605,0,75,0b
1606,1606,0,d5,66
1607,1607,0,15,c6
1608,1608,0,0e,05
1609,1609,0,06,a6
1610,1610,0,56,18
1611,1611,0,56,56
1612,1612,0,a6,06
1613,1613,0,92,76
1614,1614,0,26,46
1615,1615,0,76,40
1616,1616,0,b6,66
1617,1617,0,46,16
1618,1618,0,17,e6
1619,1619,0,56,65
1620,1620,0,e6,b1
1621,1621,0,56,96
1622,1622,0,86,36
1623,1623,0,0b,76
1624,1624,0,47,c6
1625,1625,0,e6,94
1626,1626,0,66,96
1627,1627,0,76,66
1628,1628,0,ce,86
1629,1629,0,e6,66
1630,1630,0,66,08
1631,1631,0,76,f7
1632,1632,0,26,96
1633,1633,0,8c,36
1634,1634,0,86,77
1635,1635,0,26,e2
1636,1636,0,b7,16
1637,1637,0,86,87
1638,1638,0,e3,17
1639,1639,0,76,67
1640,1640,0,26,0a
1641,1641,0,e7,47
1642,1642,0,56,c7
1643,1643,0,d6,67
1644,1644,0,96,e7
1645,1645,0,36,da
1646,1646,0,47,d6
1647,1647,0,a7,56
1648,1648,0,9d,17
1649,1649,0,06,f7
1650,1650,0,57,fe
1651,1651,0,c7,46
1652,1652,0,86,17
1653,1653,0,6f,07
1654,1654,0,c6,c7
1655,1655,0,e6,b7
1656,1656,0,56,86
1657,1657,0,47,b6
1658,1658,0,e6,16
1659,1659,0,e6,77
1660,1660,0,c6,f4
1661,1661,0,36,a6
1662,1662,0,47,56
1663,1663,0,b8,07
1664,1664,0,e6,07
1665,1665,0,46,77
1666,1666,0,96,36
1667,1667,0,16,e6
1668,1668,0,69,c6
1669,1669,0,96,b6
1670,1670,0,76,73
1671,1671,0,56,96
1672,1672,0,96,e6
1673,1673,0,c3,e5
1674,1674,0,a6,36
1675,1675,0,56,90
1676,1676,0,b6,d6
1677,1677,0,f6,d6
1678,1678,0,75,95
1679,1679,0,86,66
1680,1680,0,a6,60
1681,1681,0,16,36
1682,1682,0,66,c6
1683,1683,0,10,66
1684,1684,0,f6,76
1685,1685,0,15,76
1686,1686,0,76,f6
1687,1687,0,e6,a5
1688,1688,0,45,06
1689,1689,0,16,26
1690,1690,0,e6,43
1691,1691,0,c5,36
1692,1692,0,85,06
1693,1693,0,4c,36
1694,1694,0,06,76
1695,1695,0,06,46
1696,1696,0,86,16
1697,1697,0,d6,76
1698,1698,0,3a,16
1699,1699,0,f6,96
1700,1700,0,35,1b
1701,1701,0,36,46
1702,1702,0,e6,16
1703,1703,0,26,86
1704,1704,0,36,e5
1705,1705,0,26,00
1706,1706,0,86,06
1707,1707,0,95,f6
1708,1708,0,f8,05
1709,1709,0,f5,d6
1710,1710,0,e5,ec
1711,1711,0,15,15
1712,1712,0,76,26
1713,1713,0,cc,86
1714,1714,0,e5,d6
1715,1715,0,45,1a
1716,1716,0,56,86
1717,1717,0,26,d6
1718,1718,0,32,15
1719,1719,0,f6,e6
1720,1720,0,65,fa
1721,1721,0,16,f5
1722,1722,0,d6,15
1723,1723,0,37,86
1724,1724,0,26,f6
1725,1725,0,26,a9
1726,1726,0,d6,36
1727,1727,0,35,66
1728,1728,0,c2,66
1729,1729,0,95,26
1730,1730,0,56,0a
1731,1731,0,c6,56
1732,1732,0,36,c6
1733,1733,0,12,f6
1734,1734,0,86,45
1735,1735,0,e6,05
1736,1736,0,a5,16
1737,1737,0,36,06
1738,1738,0,90,66
1739,1739,0,66,c6
1740,1740,0,76,3b
1741,1741,0,66,86
1742,1742,0,96,56
1743,1743,0,3d,f6
1744,1744,0,a6,05
1745,1745,0,16,6a
1746,1746,0,c7,e6
1747,1747,0,86,c6
1748,1748,0,43,56
1749,1749,0,d6,b6
1750,1750,0,66,c6
1751,1751,0,56,d6
1752,1752,0,26,c6
1753,1753,0,f2,c6
1754,1754,0,76,c6
1755,1755,0,c6,46
1756,1756,0,06,76
1757,1757,0,07,06
1758,1758,0,79,67
1759,1759,0,56,16
1760,1760,0,56,49
1761,1761,0,86,66
1762,1762,0,06,96
1763,1763,0,be,a6
1764,1764,0,16,66
1765,1765,0,26,e4
1766,1766,0,77,a6
1767,1767,0,36,a6
1768,1768,0,27,76
1769,1769,0,66,f6
1770,1770,0,86,8b
1771,1771,0,46,76
1772,1772,0,d6,06
1773,1773,0,f6,56
1774,1774,0,75,46
1775,1775,0,46,70
1776,1776,0,06,86
1777,1777,0,66,86
1778,1778,0,25,55
1779,1779,0,d6,a6
1780,1780,0,45,04
1781,1781,0,36,36
1782,1782,0,d6,56
1783,1783,0,e2,06
1784,1784,0,05,66
1785,1785,0,26,1d
1786,1786,0,b6,36
1787,1787,0,35,e6
1788,1788,0,ea,a5
1789,1789,0,c5,d5
1790,1790,0,45,46
1791,1791,0,c6,26
1792,1792,0,e5,66
1793,1793,0,82,16
1794,1794,0,c5,66
1795,1795,0,e5,da
1796,1796,0,c5,05
1797,1797,0,15,c6
1798,1798,0,7a,25
1799,1799,0,b5,f5
1800,1800,0,25,25
1801,1801,0,f6,09
1802,1802,0,ff,00
1803,1803,0,ff,00
1804,1804,0,ff,00
1805,1805,0,ff,00
1806,1806,0,ff,00
1807,1807,0,ff,00
1808,1808,0,ff,00
1809,1809,0,ff,00
1810,1810,0,ff,00
1811,1811,0,ff,00
1812,1812,0,ff,00
1813,1813,0,07,00
1814,1814,0,00,00
1815,1815,0,00,00
1816,1816,0,00,00
1817,1817,0,00,00
1818,1818,0,00,00
1819,1819,0,00,00
1820,1820,0,00,00
1821,1821,0,00,00
1822,1822,0,00,00
1823,1823,0,00,00
1824,1824,0,00,00
1825,1825,0,00,00
1826,1826,0,e0,e0
1827,1827,0,0e,36
1828,1828,0,00,e9
1829,1829,0,fc,fc
1830,1830,0,ff,ff
1831,1831,0,ff,ff
1832,1832,0,ff,ff
1833,1833,0,ff,1b
1834,1834,0,ff,00
1835,1835,0,ff,00
1836,1836,0,ff,00
1837,1837,0,ff,00
1838,1838,0,ff,00
1839,1839,0,ff,00
1840,1840,0,ff,00
1841,1841,0,ff,00
1842,1842,0,ff,00
1843,1843,0,ff,00
1844,1844,0,ff,00
1845,1845,0,ff,00
1846,1846,0,ff,00
1847,1847,0,ff,00
1848,1848,0,ff,00
1849,1849,0,ff,00
1850,1850,0,ff,00
1851,1851,0,ff,00
1852,1852,0,ff,00
1853,1853,0,ff,00
1854,1854,0,ff,00
1855,1855,0,ff,00
1856,1856,0,ff,00
1857,1857,0,ff,00
1858,1858,0,ff,00
1859,1859,0,ff,00
1860,1860,0,ff,00
1861,1861,0,ff,00
1862,1862,0,ff,00
1863,1863,0,ff,00
1864,1864,0,ff,00
1865,1865,0,ff,00
1866,1866,0,ff,00
1867,1867,0,ff,00
1868,1868,0,ff,00
1869,1869,0,ff,00
1870,1870,0,ff,00
1871,1871,0,ff,00
1872,1872,0,ff,00
1873,1873,0,ff,00
1874,1874,0,ff,00
1875,1875,0,ff,00
1876,1876,0,ff,00
1877,1877,0,ff,00
1878,1878,0,ff,00
1879,1879,0,ff,00
1880,1880,0,ff,00
1881,1881,0,ff,00
1882,1882,0,ff,00
1883,1883,0,ff,00
1884,1884,0,ff,00
1885,1885,0,ff,00
1886,1886,0,ff,00
1887,1887,0,ff,00
1888,1888,0,ff,00
1889,1889,0,ff,00
1890,1890,0,ff,00
1891,1891,0,ff,00
1892,1892,0,ff,00
1893,1893,0,ff,00
1894,1894,0,ff,00
1895,1895,0,ff,00
1896,1896,0,ff,00
1897,1897,0,ff,00
1898,1898,0,ff,00
1899,1899,0,ff,00
1900,1900,0,ff,00
1901,1901,0,ff,00
1902,1902,0,ff,00
1903,1903,0,ff,00
1904,1904,0,ff,00
1905,1905,0,ff,00
1906,1906,0,ff,00
1907,1907,0,ff,00
1908,1908,0,ff,00
1909,1909,0,ff,00
1910,1910,0,ff,00
1911,1911,0,ff,00
1912,1912,0,ff,00
1913,1913,0,ff,00
1914,1914,0,ff,00
1915,1915,0,ff,00
1916,1916,0,ff,00
1917,1917,0,ff,00
1918,1918,0,ff,00
1919,1919,0,ff,00
1920,1920,0,ff,00
1921,1921,0,ff,00
1922,1922,0,ff,00
1923,1923,0,ff,00
1924,1924,0,ff,00
1925,1925,0,ff,00
1926,1926,0,ff,00
1927,1927,0,ff,00
1928,1928,0,ff,00
1929,1929,0,ff,00
1930,1930,0,ff,00
1931,1931,0,ff,00
1932,1932,0,ff,00
1933,1933,0,ff,00
1934,1934,0,ff,00
1935,1935,0,ff,00
1936,1936,0,ff,00
1937,1937,0,ff,00
1938,1938,0,ff,00
1939,1939,0,ff,00
1940,1940,0,ff,00
1941,1941,0,ff,00
1942,1942,0,ff,00
1943,1943,0,ff,00
1944,1944,0,ff,00
1945,1945,0,ff,00
1946,1946,0,ff,00
1947,1947,0,ff,00
1948,1948,0,ff,00
1949,1949,0,ff,00
1950,1950,0,ff,00
1951,1951,0,ff,00
1952,1952,0,ff,00
1953,1953,0,ff,00
1954,1954,0,ff,00
1955,1955,0,ff,00
1956,1956,0,ff,00
1957,1957,0,ff,00
1958,1958,0,ff,00
1959,1959,0,ff,00
1960,1960,0,ff,00
1961,1961,0,ff,00
1962,1962,0,ff,00
1963,1963,0,ff,00
1964,1964,0,ff,00
1965,1965,0,ff,00
1966,1966,0,ff,00
1967,1967,0,ff,00
1968,1968,0,ff,00
1969,1969,0,ff,00
1970,1970,0,ff,00
1971,1971,0,ff,00
1972,1972,0,ff,00
1973,1973,0,ff,00
1974,1974,0,ff,00
1975,1975,0,ff,00
1976,1976,0,ff,00
1977,1977,0,ff,00
1978,1978,0,ff,00
1979,1979,0,ff,00
1980,1980,0,ff,00
1981,1981,0,ff,00
1982,1982,0,ff,00
1983,1983,0,ff,00
1984,1984,0,ff,00
1985,1985,0,ff,00
1986,1986,0,ff,00
1987,1987,0,ff,00
1988,1988,0,ff,00
1989,1989,0,ff,00
1990,1990,0,ff,00
1991,1991,0,ff,00
1992,1992,0,ff,00
1993,1993,0,ff,00
1994,1994,0,ff,00
1995,1995,0,ff,00
1996,1996,0,ff,00
1997,1997,0,ff,00
1998,1998,0,ff,00
1999,1999,0,ff,00
2000,2000,0,ff,00
2001,2001,0,ff,00
2002,2002,0,ff,00
2003,2003,0,ff,00
2004,2004,0,ff,00
2005,2005,0,ff,00
2006,2006,0,ff,00
2007,2007,0,ff,00
2008,2008,0,ff,00
2009,2009,0,ff,00
2010,2010,0,ff,00
2011,2011,0,ff,00
2012,2012,0,ff,00
2013,2013,0,ff,00
2014,2014,0,ff,00
2015,2015,0,ff,00
2016,2016,0,ff,00
2017,2017,0,ff,00
2018,2018,0,ff,00
2019,2019,0,ff,00
2020,2020,0,ff,00
2021,2021,0,ff,00
2022,2022,0,ff,00
2023,2023,0,ff,00
2024,2024,0,ff,00
2025,2025,0,ff,00
2026,2026,0,ff,00
2027,2027,0,ff,00
2028,2028,0,ff,00
2029,2029,0,ff,00
2030,2030,0,ff,00
2031,2031,0,ff,00
2032,2032,0,ff,00
2033,2033,0,ff,00
2034,2034,0,ff,00
2035,2035,0,ff,00
2036,2036,0,ff,00
2037,2037,0,ff,00
2038,2038,0,ff,00
2039,2039,0,ff,00
2040,2040,0,ff,00
2041,2041,0,ff,00
2042,2042,0,ff,00
2043,2043,0,ff,00
2044,2044,0,ff,00
2045,2045,0,ff,00
2046,2046,0,ff,00
2047,2047,0,ff,00
